Rinkimai,Sąrašas,Porinkiminis nr sąraše ,"Vardas, pavardė ","Vardas, Pavarde (be ""(V)"")",Priešrinkiminis nr sąraše ,Pirmumo balsai,Reitingo balai
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),43,SERGEJUS PETUCHAS ,SERGEJUS PETUCHAS ,56,260,260
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),44,ZITA ŽEBRAUSKIENĖ ,ZITA ŽEBRAUSKIENĖ ,26,259,259
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),45,BENAS RENATAS BALTUSIS ,BENAS RENATAS BALTUSIS ,40,251,251
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),46,VITALIJA ŠIMKIENĖ ,VITALIJA ŠIMKIENĖ ,37,249,249
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),47,ZYGMUNT KLONOVSKI ,ZYGMUNT KLONOVSKI ,68,247,247
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),48,STANISLAV OLŠEVSKI ,STANISLAV OLŠEVSKI ,70,244,244
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),49,RŪTA SAUSIENĖ ,RŪTA SAUSIENĖ ,33,242,242
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),50,SKIRMANTĖ GRICIŪNIENĖ ,SKIRMANTĖ GRICIŪNIENĖ ,22,238,238
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),51,VALDEMARAS JASEVIČIUS ,VALDEMARAS JASEVIČIUS ,54,230,230
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),52,SANDRA VIČIENĖ ,SANDRA VIČIENĖ ,35,226,226
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),53,VALDEMARAS PUODŽIŪNAS ,VALDEMARAS PUODŽIŪNAS ,32,211,211
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),54,GINTAUTAS MACEVIČIUS ,GINTAUTAS MACEVIČIUS ,60,211,211
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),55,JUZEF RUTKOVSKI ,JUZEF RUTKOVSKI ,69,210,210
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),56,KĘSTUTIS GALDIKAS ,KĘSTUTIS GALDIKAS ,85,209,209
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),57,REGIMANTAS BARAVYKAS ,REGIMANTAS BARAVYKAS ,51,187,187
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),58,MIROSLAV SUCKEL ,MIROSLAV SUCKEL ,72,185,185
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),59,JOLANTA LAVRYNOVIČ ,JOLANTA LAVRYNOVIČ ,102,183,183
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),60,HALINA BORAVSKA ,HALINA BORAVSKA ,71,178,178
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),61,DONATA GEGIECKAITĖ ,DONATA GEGIECKAITĖ ,105,174,174
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),62,EIMANTAS KIRKLIAUSKAS ,EIMANTAS KIRKLIAUSKAS ,44,170,170
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),63,RASA CIBULSKIENĖ ,RASA CIBULSKIENĖ ,66,162,162
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),64,PAULIUS ULECKAS ,PAULIUS ULECKAS ,47,159,159
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),65,MINDAUGAS GERYBA ,MINDAUGAS GERYBA ,84,159,159
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),66,INGRIDA MAŽONAVIČIŪTĖ ,INGRIDA MAŽONAVIČIŪTĖ ,91,156,156
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),67,DARIUS SEMĖNAS ,DARIUS SEMĖNAS ,95,154,154
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),68,GINTARAS GIRŠTAUTAS ,GINTARAS GIRŠTAUTAS ,90,152,152
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),69,ALGIMANTAS ŠVENTICKAS ,ALGIMANTAS ŠVENTICKAS ,86,151,151
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),70,GIEDRĖ ŽIČKĖ ,GIEDRĖ ŽIČKĖ ,89,149,149
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),71,KĘSTUTIS PAKALNIS ,KĘSTUTIS PAKALNIS ,58,148,148
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),72,DANUTĖ BUDREIKAITĖ ,DANUTĖ BUDREIKAITĖ ,50,147,147
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),73,VYTAUTAS TARAILĖ ,VYTAUTAS TARAILĖ ,62,146,146
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),74,JANĖ NARVILIENĖ ,JANĖ NARVILIENĖ ,39,142,142
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),75,RITA JUOZAPAITIENĖ ,RITA JUOZAPAITIENĖ ,94,142,142
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),76,GINTAUTAS STANKUS ,GINTAUTAS STANKUS ,100,141,141
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),77,KRISTIJONAS VALIUS ,KRISTIJONAS VALIUS ,104,130,130
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),78,TOMAS RAŽANAUSKAS ,TOMAS RAŽANAUSKAS ,57,127,127
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),79,ANTANAS KALNAS ,ANTANAS KALNAS ,101,127,127
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),80,TOMAS KARČAUSKAS ,TOMAS KARČAUSKAS ,49,126,126
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),81,DANGIS GUDELIS ,DANGIS GUDELIS ,79,125,125
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),82,RIMANTAS MAKRICKAS ,RIMANTAS MAKRICKAS ,34,124,124
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),83,VALDAS KLIMANTAVIČIUS ,VALDAS KLIMANTAVIČIUS ,63,121,121
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),84,VAIDAS RAMOŠKA ,VAIDAS RAMOŠKA ,75,121,121
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),85,INGA ŠLIKIENĖ ,INGA ŠLIKIENĖ ,99,121,121
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),86,GINTARAS SODEIKA ,GINTARAS SODEIKA ,74,114,114
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),87,RYTIS MIRONČIKAS ,RYTIS MIRONČIKAS ,78,113,113
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),88,STASĖ GOŠTAUTIENĖ ,STASĖ GOŠTAUTIENĖ ,98,110,110
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),89,SIGITAS ŠIUPŠINSKAS ,SIGITAS ŠIUPŠINSKAS ,52,108,108
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),90,DALIA LAMĖNAITĖ ,DALIA LAMĖNAITĖ ,103,108,108
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),91,BENJAMINAS RIMDŽIUS ,BENJAMINAS RIMDŽIUS ,76,104,104
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),92,EDMUNDAS BERNOTAS ,EDMUNDAS BERNOTAS ,67,102,102
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),93,RIMANTAS RADŽIUS ,RIMANTAS RADŽIUS ,61,100,100
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),94,VIDMANTAS VALINČIUS ,VIDMANTAS VALINČIUS ,53,89,89
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),95,RASA JAŠKEVIČIENĖ ,RASA JAŠKEVIČIENĖ ,82,87,87
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),96,ALMUTĖ JUZĖNIENĖ ,ALMUTĖ JUZĖNIENĖ ,96,87,87
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),97,VINCAS LAURUTIS ,VINCAS LAURUTIS ,65,86,86
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),98,DIANA RAZMINIENĖ ,DIANA RAZMINIENĖ ,59,85,85
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),99,INGRIDA ŽURAUSKĖ ,INGRIDA ŽURAUSKĖ ,97,80,80
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),100,REGINA LOPIENĖ ,REGINA LOPIENĖ ,81,78,78
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),101,AUGUSTAS VISMANTAS ,AUGUSTAS VISMANTAS ,92,78,78
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),102,ALGIRDAS GANSINIAUSKAS ,ALGIRDAS GANSINIAUSKAS ,48,74,74
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),103,RIMANTAS DABULIS ,RIMANTAS DABULIS ,93,71,71
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),104,ALGIRDAS KIZNIS ,ALGIRDAS KIZNIS ,64,56,0
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),105,VALDIMARAS GUZAITIS ,VALDIMARAS GUZAITIS ,73,49,0
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),106,IRENA IGNATAVIČIENĖ ,IRENA IGNATAVIČIENĖ ,80,54,0
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),107,DEIVYDAS RUBEŽIUS ,DEIVYDAS RUBEŽIUS ,83,40,0
2016 Seimo rinkimai,Lietuvos laisvės sąjunga (liberalai),108,VYTAS JAKOBSEVIČIUS ,VYTAS JAKOBSEVIČIUS ,88,68,0
2016 Seimo rinkimai,Lietuvos žaliųjų partija,1,LINAS BALSYS (V) ,LINAS BALSYS ,1,7887,7887
2016 Seimo rinkimai,Lietuvos žaliųjų partija,2,SIGITAS MECELICA ,SIGITAS MECELICA ,2,4454,4454
2016 Seimo rinkimai,Lietuvos žaliųjų partija,3,MEČYS LAURINKUS ,MEČYS LAURINKUS ,5,3753,3753
2016 Seimo rinkimai,Lietuvos žaliųjų partija,4,MARIJA TAMKEVIČIŪTĖ ,MARIJA TAMKEVIČIŪTĖ ,4,3610,3610
2016 Seimo rinkimai,Lietuvos žaliųjų partija,5,LAURYNAS OKOCKIS ,LAURYNAS OKOCKIS ,3,3209,3209
2016 Seimo rinkimai,Lietuvos žaliųjų partija,6,RENATAS MIŠKINIS ,RENATAS MIŠKINIS ,7,2335,2335
2016 Seimo rinkimai,Lietuvos žaliųjų partija,7,JOANA KORABLIOVIENĖ ,JOANA KORABLIOVIENĖ ,6,1538,1538
2016 Seimo rinkimai,Lietuvos žaliųjų partija,8,JŪRATĖ MAŽEIKYTĖ ,JŪRATĖ MAŽEIKYTĖ ,13,1296,1296
2016 Seimo rinkimai,Lietuvos žaliųjų partija,9,JUSTAS INGELEVIČIUS ,JUSTAS INGELEVIČIUS ,10,1275,1275
2016 Seimo rinkimai,Lietuvos žaliųjų partija,10,SAULIUS VYTAS PIKŠRYS ,SAULIUS VYTAS PIKŠRYS ,12,1196,1196
2016 Seimo rinkimai,Lietuvos žaliųjų partija,11,NIJOLĖ BRUSOKIENĖ ,NIJOLĖ BRUSOKIENĖ ,8,1129,1129
2016 Seimo rinkimai,Lietuvos žaliųjų partija,12,MINDAUGAS ČIRBA ,MINDAUGAS ČIRBA ,9,1114,1114
2016 Seimo rinkimai,Lietuvos žaliųjų partija,13,REMIGIJUS LAPINSKAS ,REMIGIJUS LAPINSKAS ,11,944,944
2016 Seimo rinkimai,Lietuvos žaliųjų partija,14,INA BUDRIENĖ ,INA BUDRIENĖ ,14,814,814
2016 Seimo rinkimai,Lietuvos žaliųjų partija,15,VILMA GAUBYTĖ ,VILMA GAUBYTĖ ,16,807,807
2016 Seimo rinkimai,Lietuvos žaliųjų partija,16,SAULIUS LAPIENIS ,SAULIUS LAPIENIS ,15,775,775
2016 Seimo rinkimai,Lietuvos žaliųjų partija,17,AUSTĖJA JONAITYTĖ ,AUSTĖJA JONAITYTĖ ,28,766,766
2016 Seimo rinkimai,Lietuvos žaliųjų partija,18,SMILTĖ DOVEIKIENĖ ,SMILTĖ DOVEIKIENĖ ,36,686,686
2016 Seimo rinkimai,Lietuvos žaliųjų partija,19,ALGIRDAS DIMŠA ,ALGIRDAS DIMŠA ,34,636,636
2016 Seimo rinkimai,Lietuvos žaliųjų partija,20,VALERIANAS KIJEVIČIUS ,VALERIANAS KIJEVIČIUS ,38,563,563
2016 Seimo rinkimai,Lietuvos žaliųjų partija,21,DONATAS RADVILAVIČIUS ,DONATAS RADVILAVIČIUS ,37,562,562
2016 Seimo rinkimai,Lietuvos žaliųjų partija,22,ARŪNAS MATULAITIS ,ARŪNAS MATULAITIS ,33,455,455
2016 Seimo rinkimai,Lietuvos žaliųjų partija,23,DANUTĖ JUŠKIENĖ ,DANUTĖ JUŠKIENĖ ,21,454,454
2016 Seimo rinkimai,Lietuvos žaliųjų partija,24,BRONIUS VYGELIS ,BRONIUS VYGELIS ,27,448,448
2016 Seimo rinkimai,Lietuvos žaliųjų partija,25,KĘSTUTIS MIKULSKAS ,KĘSTUTIS MIKULSKAS ,17,433,433
2016 Seimo rinkimai,Lietuvos žaliųjų partija,26,LAIMA ŠALKAUSKIENĖ ,LAIMA ŠALKAUSKIENĖ ,18,409,409
2016 Seimo rinkimai,Lietuvos žaliųjų partija,27,TOMAS KAŽEMĖKAS ,TOMAS KAŽEMĖKAS ,19,390,390
2016 Seimo rinkimai,Lietuvos žaliųjų partija,28,ALGIRDAS ULČICKAS ,ALGIRDAS ULČICKAS ,20,390,390
2016 Seimo rinkimai,Lietuvos žaliųjų partija,29,RAIMONDA JAKUTIENĖ ,RAIMONDA JAKUTIENĖ ,31,375,375
2016 Seimo rinkimai,Lietuvos žaliųjų partija,30,AUŠRA JANULAITIENĖ ,AUŠRA JANULAITIENĖ ,24,358,358
2016 Seimo rinkimai,Lietuvos žaliųjų partija,31,KĘSTUTIS ULČICKAS ,KĘSTUTIS ULČICKAS ,30,335,335
2016 Seimo rinkimai,Lietuvos žaliųjų partija,32,JONAS PAIČIUS ,JONAS PAIČIUS ,22,323,323
2016 Seimo rinkimai,Lietuvos žaliųjų partija,33,LYGAUDAS SINICA ,LYGAUDAS SINICA ,32,304,304
2016 Seimo rinkimai,Lietuvos žaliųjų partija,34,AUŠRA KLEBONIENĖ ,AUŠRA KLEBONIENĖ ,26,294,294
2016 Seimo rinkimai,Lietuvos žaliųjų partija,35,EDVARDAS DEIKA ,EDVARDAS DEIKA ,23,291,291
2016 Seimo rinkimai,Lietuvos žaliųjų partija,36,ALFONSAS BALZARIS ,ALFONSAS BALZARIS ,25,276,276
2016 Seimo rinkimai,Lietuvos žaliųjų partija,37,PAULIUS ŠLIAVAS ,PAULIUS ŠLIAVAS ,29,273,273
2016 Seimo rinkimai,Lietuvos žaliųjų partija,38,JEVGENIJA BABUSENKO ,JEVGENIJA BABUSENKO ,35,254,254
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,1,AUŠRA MALDEIKIENĖ (V) ,AUŠRA MALDEIKIENĖ ,2,12639,12639
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,2,DARIUS KUOLYS ,DARIUS KUOLYS ,1,11318,11318
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,3,GINTAUTAS TERLECKAS ,GINTAUTAS TERLECKAS ,4,5586,5586
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,4,KRISTINA PAULIKĖ ,KRISTINA PAULIKĖ ,3,5297,5297
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,5,MINDAUGAS ŠIMKŪNAS ,MINDAUGAS ŠIMKŪNAS ,5,3950,3950
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,6,ANTANAS KULAKAUSKAS ,ANTANAS KULAKAUSKAS ,11,2479,2479
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,7,JŪRATĖ ZABIELAITĖ ,JŪRATĖ ZABIELAITĖ ,15,2029,2029
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,8,LIUDAS BRADAUSKAS ,LIUDAS BRADAUSKAS ,7,1615,1615
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,9,DAINORA EIGMINIENĖ ,DAINORA EIGMINIENĖ ,6,1488,1488
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,10,EGIDIJUS VISOCKAS ,EGIDIJUS VISOCKAS ,8,1454,1454
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,11,ASTA NIDA PODERIENĖ ,ASTA NIDA PODERIENĖ ,9,1311,1311
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,12,KĘSTUTIS MAZURKEVIČIUS ,KĘSTUTIS MAZURKEVIČIUS ,10,1246,1246
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,13,ŠARŪNAS BAGDONAS ,ŠARŪNAS BAGDONAS ,14,1230,1230
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,14,VILIJA MORKŪNAITĖ ,VILIJA MORKŪNAITĖ ,13,1163,1163
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,15,IRENA ZALESKIENĖ ,IRENA ZALESKIENĖ ,12,743,743
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,16,JOLANTA LIPKEVIČIENĖ ,JOLANTA LIPKEVIČIENĖ ,39,711,711
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,17,KĘSTUTIS SUBAČIUS ,KĘSTUTIS SUBAČIUS ,16,678,678
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,18,AUSTĖ NAKIENĖ ,AUSTĖ NAKIENĖ ,21,671,671
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,19,JOANA NOREIKAITĖ ,JOANA NOREIKAITĖ ,32,658,658
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,20,RAMUNĖ JURKUVIENĖ ,RAMUNĖ JURKUVIENĖ ,19,642,642
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,21,KĘSTUTIS MUSTEIKIS ,KĘSTUTIS MUSTEIKIS ,20,625,625
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,22,ASTA ANTANAVIČIUTĖ ,ASTA ANTANAVIČIUTĖ ,23,611,611
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,23,SAULĖ MATULEVIČIENĖ ,SAULĖ MATULEVIČIENĖ ,17,547,547
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,24,NARIMANTAS ŠEDYS ,NARIMANTAS ŠEDYS ,25,471,471
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,25,ROBERTAS RAMANAUSKAS ,ROBERTAS RAMANAUSKAS ,26,441,441
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,26,BIRUTĖ JAGMINIENĖ ,BIRUTĖ JAGMINIENĖ ,29,425,425
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,27,NERIJUS NAUJALIS ,NERIJUS NAUJALIS ,31,399,399
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,28,INGRIDA JUCIENĖ ,INGRIDA JUCIENĖ ,37,376,376
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,29,NERINGA EIMUTIENĖ ,NERINGA EIMUTIENĖ ,36,358,358
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,30,ARTŪRAS BUITKUS ,ARTŪRAS BUITKUS ,34,350,350
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,31,KASTYTIS NORMANTAS ,KASTYTIS NORMANTAS ,33,329,329
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,32,ROMA BIELIAJEVIENĖ ,ROMA BIELIAJEVIENĖ ,38,285,285
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,33,LEONAS SAKALAVIČIUS ,LEONAS SAKALAVIČIUS ,30,282,282
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,34,DANGIRAS ŠEŠKEVIČIUS ,DANGIRAS ŠEŠKEVIČIUS ,35,264,264
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,35,JONAS SAKALAVIČIUS ,JONAS SAKALAVIČIUS ,27,258,258
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,36,JŪRATĖ BALTRŪNIENĖ ,JŪRATĖ BALTRŪNIENĖ ,24,257,257
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,37,RAIMONDA MARČIUKAITIENĖ ,RAIMONDA MARČIUKAITIENĖ ,22,222,222
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,38,LORENAS MAKARAVIČIUS ,LORENAS MAKARAVIČIUS ,18,196,196
2016 Seimo rinkimai,Politinė partija „Lietuvos sąrašas“,39,JAROSLAV VABALIS ,JAROSLAV VABALIS ,28,164,164
2016 Seimo rinkimai,Lietuvos liaudies partija,1,ROLANDAS PAULAUSKAS ,ROLANDAS PAULAUSKAS ,1,5484,5484
2016 Seimo rinkimai,Lietuvos liaudies partija,2,AUDRIUS NAKAS ,AUDRIUS NAKAS ,2,3314,3314
2016 Seimo rinkimai,Lietuvos liaudies partija,3,KAZIMIERAS JURAITIS ,KAZIMIERAS JURAITIS ,3,2758,2758
2016 Seimo rinkimai,Lietuvos liaudies partija,4,MARIUS JONAITIS ,MARIUS JONAITIS ,5,2248,2248
2016 Seimo rinkimai,Lietuvos liaudies partija,5,DANGUOLĖ TAUTVYDIENĖ ,DANGUOLĖ TAUTVYDIENĖ ,4,1943,1943
2016 Seimo rinkimai,Lietuvos liaudies partija,6,VYTAUTAS JUOZAPAITIS ,VYTAUTAS JUOZAPAITIS ,10,1349,1349
2016 Seimo rinkimai,Lietuvos liaudies partija,7,EUGENIJUS PALIOKAS ,EUGENIJUS PALIOKAS ,8,1317,1317
2016 Seimo rinkimai,Lietuvos liaudies partija,8,ELONA ŠVIPIENĖ ,ELONA ŠVIPIENĖ ,11,1016,1016
2016 Seimo rinkimai,Lietuvos liaudies partija,9,STANISLAVA ŠUMILAITĖ ,STANISLAVA ŠUMILAITĖ ,7,1006,1006
2016 Seimo rinkimai,Lietuvos liaudies partija,10,VITALIJUS BALKUS ,VITALIJUS BALKUS ,9,771,771
2016 Seimo rinkimai,Lietuvos liaudies partija,11,LINA ČERNECKYTĖ ,LINA ČERNECKYTĖ ,6,762,762
2016 Seimo rinkimai,Lietuvos liaudies partija,12,GINTARAS RADVILA ,GINTARAS RADVILA ,28,718,718
2016 Seimo rinkimai,Lietuvos liaudies partija,13,RIČARDAS VYSOCKIS ,RIČARDAS VYSOCKIS ,12,613,613
2016 Seimo rinkimai,Lietuvos liaudies partija,14,EGIDIJUS BALTUŠIS ,EGIDIJUS BALTUŠIS ,14,591,591
2016 Seimo rinkimai,Lietuvos liaudies partija,15,ARTAS BRASAS ,ARTAS BRASAS ,26,581,581
2016 Seimo rinkimai,Lietuvos liaudies partija,16,MODESTAS POCIUS ,MODESTAS POCIUS ,18,394,394
2016 Seimo rinkimai,Lietuvos liaudies partija,17,ARTŪRAS ŠIDLAUSKAS ,ARTŪRAS ŠIDLAUSKAS ,38,357,357
2016 Seimo rinkimai,Lietuvos liaudies partija,18,GINTARAS JAZDAUSKAS ,GINTARAS JAZDAUSKAS ,21,355,355
2016 Seimo rinkimai,Lietuvos liaudies partija,19,ALDAS MAČIULIS ,ALDAS MAČIULIS ,36,286,286
2016 Seimo rinkimai,Lietuvos liaudies partija,20,IRENA IZOLINA JUOZAPAITIENĖ ,IRENA IZOLINA JUOZAPAITIENĖ ,29,255,255
2016 Seimo rinkimai,Lietuvos liaudies partija,21,ANGELĖ KOSTOGRIZIENĖ ,ANGELĖ KOSTOGRIZIENĖ ,13,246,246
2016 Seimo rinkimai,Lietuvos liaudies partija,22,RIMA PAUKŠTELIENĖ ,RIMA PAUKŠTELIENĖ ,17,238,238
2016 Seimo rinkimai,Lietuvos liaudies partija,23,JUSTAS SKAUMINAS ,JUSTAS SKAUMINAS ,22,224,224
2016 Seimo rinkimai,Lietuvos liaudies partija,24,ARTŪRAS SINKEVIČIUS ,ARTŪRAS SINKEVIČIUS ,37,220,220
2016 Seimo rinkimai,Lietuvos liaudies partija,25,VAIDA JUOZAPAITYTĖ ,VAIDA JUOZAPAITYTĖ ,33,213,213
2016 Seimo rinkimai,Lietuvos liaudies partija,26,VILTANA ŠAKENYTĖ ,VILTANA ŠAKENYTĖ ,20,205,205
2016 Seimo rinkimai,Lietuvos liaudies partija,27,RASA ANDRIUŠIENĖ ,RASA ANDRIUŠIENĖ ,25,190,190
2016 Seimo rinkimai,Lietuvos liaudies partija,28,VITALIJ MUCHLIADO ,VITALIJ MUCHLIADO ,15,185,185
2016 Seimo rinkimai,Lietuvos liaudies partija,29,KAROLIS SKIRKUS ,KAROLIS SKIRKUS ,16,183,183
2016 Seimo rinkimai,Lietuvos liaudies partija,30,JELENA GRABOVSKAJA ,JELENA GRABOVSKAJA ,31,172,172
2016 Seimo rinkimai,Lietuvos liaudies partija,31,ANGELĖ AMBRAZIENĖ ,ANGELĖ AMBRAZIENĖ ,24,161,161
2016 Seimo rinkimai,Lietuvos liaudies partija,32,ANDRIUS CHRAPOVICKIS ,ANDRIUS CHRAPOVICKIS ,19,157,157
2016 Seimo rinkimai,Lietuvos liaudies partija,33,RĖDA BISTRICKAITĖ ,RĖDA BISTRICKAITĖ ,35,143,143
2016 Seimo rinkimai,Lietuvos liaudies partija,34,MANTAS ZATURSKIS ,MANTAS ZATURSKIS ,27,142,142
2016 Seimo rinkimai,Lietuvos liaudies partija,35,VLADAS JURGELEVIČIUS ,VLADAS JURGELEVIČIUS ,32,139,139
2016 Seimo rinkimai,Lietuvos liaudies partija,36,DANUTĖ JASILIONIENĖ ,DANUTĖ JASILIONIENĖ ,30,135,135
2016 Seimo rinkimai,Lietuvos liaudies partija,37,DANGIRDAS MIKŠYS ,DANGIRDAS MIKŠYS ,23,119,119
2016 Seimo rinkimai,Lietuvos liaudies partija,38,STEPAS BALIULIS ,STEPAS BALIULIS ,34,106,106
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",1,STANISLOVAS BUŠKEVIČIUS ,STANISLOVAS BUŠKEVIČIUS ,1,1747,1747
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",2,STASYS BUŠKEVIČIUS ,STASYS BUŠKEVIČIUS ,4,1054,1054
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",3,AUDRIUS RUDYS ,AUDRIUS RUDYS ,2,991,991
